Country name,Regional indicator,Region,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Turkmenistan,Commonwealth of Independent States,Europe,5066,0.036,5136,4996,9629,0.983,62409,0.877,0.273,0.888,2430,1046,1172,0.439,0.602,0.366,0.033,1409
Gambia,Sub-Saharan Africa,Africa,5051,0.089,5225,4877,7686,0.690,55160,0.697,0.424,0.746,2430,0.367,0.511,0.210,0.384,0.465,0.123,2990
Benin,Sub-Saharan Africa,Africa,5045,0.073,5189,4901,8087,0.489,54713,0.757,-0.034,0.661,2430,0.507,0.058,0.196,0.457,0.166,0.178,3482
Laos,Southeast Asia,Asia,5030,0.045,5119,4941,8947,0.728,58968,0.910,0.123,0.658,2430,0.808,0.598,0.330,0.643,0.268,0.179,2204
Bangladesh,South Asia,Asia,5025,0.046,5115,4934,8454,0.693,64800,0.877,-0.041,0.682,2430,0.635,0.520,0.514,0.603,0.161,0.164,2427
Guinea,Sub-Saharan Africa,Africa,4984,0.090,5160,4808,7838,0.639,55008,0.697,0.095,0.766,2430,0.420,0.399,0.206,0.384,0.250,0.111,3216
South Africa,Sub-Saharan Africa,Africa,4956,0.060,5074,4839,9403,0.860,56904,0.749,-0.067,0.860,2430,0.967,0.895,0.265,0.447,0.144,0.051,2187
Turkey,Middle East and North Africa,Africa,4948,0.046,5038,4857,10240,0.822,67199,0.576,-0.139,0.776,2430,1260,0.809,0.590,0.236,0.097,0.104,1852
Pakistan,South Asia,Asia,4934,0.068,5066,4802,8458,0.651,58709,0.726,0.098,0.787,2430,0.637,0.423,0.322,0.418,0.252,0.097,2784
Morocco,Middle East and North Africa,Africa,4918,0.060,5036,4800,8903,0.560,66208,0.774,-0.236,0.801,2430,0.792,0.219,0.558,0.477,0.034,0.088,2749
Venezuela,Latin America and Caribbean,South America,4892,0.064,5017,4767,9073,0.861,66700,0.615,-0.169,0.827,2430,0.852,0.897,0.574,0.284,0.078,0.072,2135
Georgia,Commonwealth of Independent States,Europe,4891,0.054,4998,4785,9585,0.671,64300,0.783,-0.238,0.655,2430,1030,0.470,0.498,0.488,0.032,0.181,2191
Algeria,Middle East and North Africa,Africa,4887,0.053,4991,4783,9342,0.802,66005,0.480,-0.067,0.752,2430,0.946,0.765,0.552,0.119,0.144,0.120,2242
Ukraine,Commonwealth of Independent States,Europe,4875,0.052,4977,4773,9436,0.888,64902,0.724,-0.011,0.924,2430,0.979,0.958,0.517,0.417,0.181,0.010,1813
Iraq,Middle East and North Africa,Africa,4854,0.059,4970,4738,9240,0.746,60583,0.630,-0.053,0.875,2430,0.910,0.638,0.381,0.302,0.153,0.041,2429
